Size,DataType,Algorithm,TimeMicroseconds
4900,Random,QuickSort,619.200000
4900,Random,HybridQuickSort,449.600000
4900,Reversed,QuickSort,455.000000
4900,Reversed,HybridQuickSort,283.000000
4900,AlmostSorted,QuickSort,446.800000
4900,AlmostSorted,HybridQuickSort,254.600000
5000,Random,QuickSort,634.600000
5000,Random,HybridQuickSort,472.400000
5000,Reversed,QuickSort,455.000000
5000,Reversed,HybridQuickSort,302.800000
5000,AlmostSorted,QuickSort,440.600000
5000,AlmostSorted,HybridQuickSort,248.800000
5100,Random,QuickSort,652.800000
5100,Random,HybridQuickSort,475.800000
5100,Reversed,QuickSort,472.200000
5100,Reversed,HybridQuickSort,290.600000
5100,AlmostSorted,QuickSort,462.800000
5100,AlmostSorted,HybridQuickSort,246.400000
5200,Random,QuickSort,663.400000
5200,Random,HybridQuickSort,475.200000
5200,Reversed,QuickSort,482.400000
5200,Reversed,HybridQuickSort,301.800000
5200,AlmostSorted,QuickSort,468.000000
5200,AlmostSorted,HybridQuickSort,256.600000
5300,Random,QuickSort,674.200000
5300,Random,HybridQuickSort,488.000000
5300,Reversed,QuickSort,485.000000
5300,Reversed,HybridQuickSort,311.800000
5300,AlmostSorted,QuickSort,525.200000
5300,AlmostSorted,HybridQuickSort,273.200000
5400,Random,QuickSort,707.200000
5400,Random,HybridQuickSort,517.600000
5400,Reversed,QuickSort,518.400000
5400,Reversed,HybridQuickSort,327.800000
5400,AlmostSorted,QuickSort,487.400000
5400,AlmostSorted,HybridQuickSort,293.800000
5500,Random,QuickSort,751.600000
5500,Random,HybridQuickSort,520.400000
5500,Reversed,QuickSort,540.200000
5500,Reversed,HybridQuickSort,340.200000
5500,AlmostSorted,QuickSort,521.800000
5500,AlmostSorted,HybridQuickSort,293.200000
5600,Random,QuickSort,754.200000
5600,Random,HybridQuickSort,545.800000
5600,Reversed,QuickSort,524.800000
5600,Reversed,HybridQuickSort,347.000000
5600,AlmostSorted,QuickSort,529.800000
5600,AlmostSorted,HybridQuickSort,316.600000
5700,Random,QuickSort,758.400000
5700,Random,HybridQuickSort,555.400000
5700,Reversed,QuickSort,552.000000
5700,Reversed,HybridQuickSort,366.200000
5700,AlmostSorted,QuickSort,509.000000
5700,AlmostSorted,HybridQuickSort,293.800000
5800,Random,QuickSort,762.800000
5800,Random,HybridQuickSort,555.000000
5800,Reversed,QuickSort,537.600000
5800,Reversed,HybridQuickSort,354.400000
5800,AlmostSorted,QuickSort,522.200000
5800,AlmostSorted,HybridQuickSort,319.400000
5900,Random,QuickSort,783.000000
5900,Random,HybridQuickSort,585.600000
5900,Reversed,QuickSort,551.600000
5900,Reversed,HybridQuickSort,360.400000
5900,AlmostSorted,QuickSort,551.400000
5900,AlmostSorted,HybridQuickSort,306.800000
6000,Random,QuickSort,798.000000
6000,Random,HybridQuickSort,565.600000
6000,Reversed,QuickSort,561.800000
6000,Reversed,HybridQuickSort,358.800000
6000,AlmostSorted,QuickSort,530.000000
6000,AlmostSorted,HybridQuickSort,293.800000
6100,Random,QuickSort,796.400000
6100,Random,HybridQuickSort,581.600000
6100,Reversed,QuickSort,575.200000
6100,Reversed,HybridQuickSort,377.800000
6100,AlmostSorted,QuickSort,553.200000
6100,AlmostSorted,HybridQuickSort,331.400000
6200,Random,QuickSort,801.800000
6200,Random,HybridQuickSort,593.000000
6200,Reversed,QuickSort,588.000000
6200,Reversed,HybridQuickSort,383.800000
6200,AlmostSorted,QuickSort,575.000000
6200,AlmostSorted,HybridQuickSort,334.400000
6300,Random,QuickSort,808.200000
6300,Random,HybridQuickSort,593.200000
6300,Reversed,QuickSort,609.200000
6300,Reversed,HybridQuickSort,384.600000
6300,AlmostSorted,QuickSort,583.200000
6300,AlmostSorted,HybridQuickSort,325.600000
6400,Random,QuickSort,830.000000
6400,Random,HybridQuickSort,602.800000
6400,Reversed,QuickSort,622.800000
6400,Reversed,HybridQuickSort,381.600000
6400,AlmostSorted,QuickSort,603.200000
6400,AlmostSorted,HybridQuickSort,327.000000
6500,Random,QuickSort,841.800000
6500,Random,HybridQuickSort,611.400000
6500,Reversed,QuickSort,626.600000
6500,Reversed,HybridQuickSort,394.800000
6500,AlmostSorted,QuickSort,622.800000
6500,AlmostSorted,HybridQuickSort,336.400000
6600,Random,QuickSort,927.800000
6600,Random,HybridQuickSort,634.800000
6600,Reversed,QuickSort,646.800000
6600,Reversed,HybridQuickSort,425.400000
6600,AlmostSorted,QuickSort,630.600000
6600,AlmostSorted,HybridQuickSort,350.600000
6700,Random,QuickSort,926.600000
6700,Random,HybridQuickSort,701.400000
6700,Reversed,QuickSort,694.600000
6700,Reversed,HybridQuickSort,437.800000
6700,AlmostSorted,QuickSort,678.600000
6700,AlmostSorted,HybridQuickSort,378.400000
6800,Random,QuickSort,950.000000
6800,Random,HybridQuickSort,728.600000
6800,Reversed,QuickSort,728.800000
6800,Reversed,HybridQuickSort,435.600000
6800,AlmostSorted,QuickSort,685.400000
6800,AlmostSorted,HybridQuickSort,386.400000
6900,Random,QuickSort,963.400000
6900,Random,HybridQuickSort,696.800000
6900,Reversed,QuickSort,710.400000
6900,Reversed,HybridQuickSort,423.000000
6900,AlmostSorted,QuickSort,653.000000
6900,AlmostSorted,HybridQuickSort,386.800000
7000,Random,QuickSort,947.000000
7000,Random,HybridQuickSort,717.200000
7000,Reversed,QuickSort,670.000000
7000,Reversed,HybridQuickSort,430.200000
7000,AlmostSorted,QuickSort,715.200000
7000,AlmostSorted,HybridQuickSort,366.600000
7100,Random,QuickSort,967.000000
7100,Random,HybridQuickSort,681.400000
7100,Reversed,QuickSort,690.200000
7100,Reversed,HybridQuickSort,437.400000
7100,AlmostSorted,QuickSort,654.200000
7100,AlmostSorted,HybridQuickSort,384.800000
7200,Random,QuickSort,953.200000
7200,Random,HybridQuickSort,692.600000
7200,Reversed,QuickSort,712.200000
7200,Reversed,HybridQuickSort,455.800000
