Size,DataType,Algorithm,TimeMicroseconds
5400,AlmostSorted,MergeSort,1693.600000
5400,AlmostSorted,HybridMergeSort,528.400000
5500,Random,MergeSort,2031.800000
5500,Random,HybridMergeSort,967.200000
5500,Reversed,MergeSort,1659.000000
5500,Reversed,HybridMergeSort,878.400000
5500,AlmostSorted,MergeSort,1725.800000
5500,AlmostSorted,HybridMergeSort,551.000000
5600,Random,MergeSort,2108.000000
5600,Random,HybridMergeSort,1014.600000
5600,Reversed,MergeSort,1718.600000
5600,Reversed,HybridMergeSort,889.400000
5600,AlmostSorted,MergeSort,1741.400000
5600,AlmostSorted,HybridMergeSort,544.400000
5700,Random,MergeSort,2131.600000
5700,Random,HybridMergeSort,1000.800000
5700,Reversed,MergeSort,1693.400000
5700,Reversed,HybridMergeSort,914.400000
5700,AlmostSorted,MergeSort,1779.400000
5700,AlmostSorted,HybridMergeSort,559.400000
5800,Random,MergeSort,2174.800000
5800,Random,HybridMergeSort,1019.200000
5800,Reversed,MergeSort,1733.800000
5800,Reversed,HybridMergeSort,941.200000
5800,AlmostSorted,MergeSort,1803.800000
5800,AlmostSorted,HybridMergeSort,554.800000
5900,Random,MergeSort,2175.800000
5900,Random,HybridMergeSort,1030.800000
5900,Reversed,MergeSort,1782.400000
5900,Reversed,HybridMergeSort,980.400000
5900,AlmostSorted,MergeSort,1864.400000
5900,AlmostSorted,HybridMergeSort,589.600000
6000,Random,MergeSort,2210.400000
6000,Random,HybridMergeSort,1052.000000
6000,Reversed,MergeSort,1805.000000
6000,Reversed,HybridMergeSort,990.400000
6000,AlmostSorted,MergeSort,1917.200000
6000,AlmostSorted,HybridMergeSort,611.800000
6100,Random,MergeSort,2288.000000
6100,Random,HybridMergeSort,1093.800000
6100,Reversed,MergeSort,1844.600000
6100,Reversed,HybridMergeSort,1026.600000
6100,AlmostSorted,MergeSort,1926.200000
6100,AlmostSorted,HybridMergeSort,597.400000
6200,Random,MergeSort,2299.200000
6200,Random,HybridMergeSort,1094.400000
6200,Reversed,MergeSort,1873.400000
6200,Reversed,HybridMergeSort,1029.000000
6200,AlmostSorted,MergeSort,1958.800000
6200,AlmostSorted,HybridMergeSort,609.600000
6300,Random,MergeSort,2339.200000
6300,Random,HybridMergeSort,1117.000000
6300,Reversed,MergeSort,1899.600000
6300,Reversed,HybridMergeSort,1052.200000
6300,AlmostSorted,MergeSort,1988.600000
6300,AlmostSorted,HybridMergeSort,618.000000
6400,Random,MergeSort,2390.000000
6400,Random,HybridMergeSort,1139.000000
6400,Reversed,MergeSort,1938.800000
6400,Reversed,HybridMergeSort,1082.000000
6400,AlmostSorted,MergeSort,2025.800000
6400,AlmostSorted,HybridMergeSort,622.200000
6500,Random,MergeSort,2425.200000
6500,Random,HybridMergeSort,1163.200000
6500,Reversed,MergeSort,2008.400000
6500,Reversed,HybridMergeSort,1006.400000
6500,AlmostSorted,MergeSort,2072.000000
6500,AlmostSorted,HybridMergeSort,727.600000
6600,Random,MergeSort,2534.800000
6600,Random,HybridMergeSort,1211.400000
6600,Reversed,MergeSort,2030.800000
6600,Reversed,HybridMergeSort,948.000000
6600,AlmostSorted,MergeSort,2082.000000
6600,AlmostSorted,HybridMergeSort,747.800000
6700,Random,MergeSort,2499.000000
6700,Random,HybridMergeSort,1196.400000
6700,Reversed,MergeSort,2018.600000
6700,Reversed,HybridMergeSort,969.600000
6700,AlmostSorted,MergeSort,2111.200000
6700,AlmostSorted,HybridMergeSort,758.200000
6800,Random,MergeSort,2540.200000
6800,Random,HybridMergeSort,1221.800000
6800,Reversed,MergeSort,2069.400000
6800,Reversed,HybridMergeSort,1001.800000
6800,AlmostSorted,MergeSort,2163.400000
6800,AlmostSorted,HybridMergeSort,795.400000
6900,Random,MergeSort,2602.800000
6900,Random,HybridMergeSort,1252.000000
6900,Reversed,MergeSort,2091.400000
6900,Reversed,HybridMergeSort,1021.000000
6900,AlmostSorted,MergeSort,2196.000000
6900,AlmostSorted,HybridMergeSort,792.200000
7000,Random,MergeSort,2651.400000
7000,Random,HybridMergeSort,1286.600000
7000,Reversed,MergeSort,2173.000000
7000,Reversed,HybridMergeSort,1033.400000
7000,AlmostSorted,MergeSort,2245.800000
7000,AlmostSorted,HybridMergeSort,783.000000
7100,Random,MergeSort,2683.200000
7100,Random,HybridMergeSort,1279.200000
7100,Reversed,MergeSort,2192.200000
7100,Reversed,HybridMergeSort,1116.800000
7100,AlmostSorted,MergeSort,2289.200000
