array_type;algorithm;size;average_time_microseconds;average_char_comparisons;sorted
random;standard_quick_sort;1800;8116;318108;yes
reverse_sorted;standard_quick_sort;1800;47943;2038110;yes
almost_sorted;standard_quick_sort;1800;8289;318961;yes
same_prefix;standard_quick_sort;1800;18084;734752;yes
random;standard_merge_sort;1800;2771;23945;yes
reverse_sorted;standard_merge_sort;1800;2520;14855;yes
almost_sorted;standard_merge_sort;1800;2744;23112;yes
same_prefix;standard_merge_sort;1800;8660;264508;yes
random;string_quick_sort;1800;1252;19814;yes
reverse_sorted;string_quick_sort;1800;3893;62496;yes
almost_sorted;string_quick_sort;1800;1370;23614;yes
same_prefix;string_quick_sort;1800;1591;46109;yes
random;string_merge_sort;1800;2793;23945;yes
reverse_sorted;string_merge_sort;1800;2434;14855;yes
almost_sorted;string_merge_sort;1800;2628;23112;yes
same_prefix;string_merge_sort;1800;8329;264508;yes
random;msd_radix_sort;1800;1065;8232;yes
reverse_sorted;msd_radix_sort;1800;1268;8744;yes
almost_sorted;msd_radix_sort;1800;1237;8656;yes
same_prefix;msd_radix_sort;1800;2361;58550;yes
random;msd_radix_quick_sort;1800;711;11906;yes
reverse_sorted;msd_radix_quick_sort;1800;1857;33137;yes
almost_sorted;msd_radix_quick_sort;1800;876;15230;yes
same_prefix;msd_radix_quick_sort;1800;2035;62074;yes
random;standard_quick_sort;1900;8828;324445;yes
reverse_sorted;standard_quick_sort;1900;52571;2244306;yes
almost_sorted;standard_quick_sort;1900;8331;331354;yes
same_prefix;standard_quick_sort;1900;19903;793412;yes
random;standard_merge_sort;1900;3105;25522;yes
reverse_sorted;standard_merge_sort;1900;2745;15908;yes
almost_sorted;standard_merge_sort;1900;2936;24516;yes
same_prefix;standard_merge_sort;1900;9458;281807;yes
random;string_quick_sort;1900;1355;20810;yes
reverse_sorted;string_quick_sort;1900;4187;69324;yes
almost_sorted;string_quick_sort;1900;1488;25425;yes
same_prefix;string_quick_sort;1900;1629;47696;yes
random;string_merge_sort;1900;2896;25522;yes
reverse_sorted;string_merge_sort;1900;2542;15908;yes
almost_sorted;string_merge_sort;1900;2767;24516;yes
same_prefix;string_merge_sort;1900;8824;281807;yes
random;msd_radix_sort;1900;1142;8750;yes
reverse_sorted;msd_radix_sort;1900;1314;9222;yes
almost_sorted;msd_radix_sort;1900;1292;9134;yes
same_prefix;msd_radix_sort;1900;2527;61896;yes
random;msd_radix_quick_sort;1900;753;12723;yes
reverse_sorted;msd_radix_quick_sort;1900;1964;35062;yes
almost_sorted;msd_radix_quick_sort;1900;922;16042;yes
same_prefix;msd_radix_quick_sort;1900;2126;65711;yes
random;standard_quick_sort;2000;9036;356408;yes
reverse_sorted;standard_quick_sort;2000;57343;2461049;yes
almost_sorted;standard_quick_sort;2000;9054;362324;yes
same_prefix;standard_quick_sort;2000;18829;782087;yes
random;standard_merge_sort;2000;3051;27165;yes
reverse_sorted;standard_merge_sort;2000;2698;17020;yes
almost_sorted;standard_merge_sort;2000;2919;25710;yes
same_prefix;standard_merge_sort;2000;9530;297979;yes
random;string_quick_sort;2000;1421;22527;yes
reverse_sorted;string_quick_sort;2000;4401;74326;yes
almost_sorted;string_quick_sort;2000;1504;26078;yes
same_prefix;string_quick_sort;2000;1758;50873;yes
random;string_merge_sort;2000;3050;27165;yes
reverse_sorted;string_merge_sort;2000;2682;17020;yes
almost_sorted;string_merge_sort;2000;2911;25710;yes
same_prefix;string_merge_sort;2000;9316;297979;yes
random;msd_radix_sort;2000;1221;9254;yes
reverse_sorted;msd_radix_sort;2000;1385;9702;yes
almost_sorted;msd_radix_sort;2000;1370;9618;yes
same_prefix;msd_radix_sort;2000;2659;65190;yes
random;msd_radix_quick_sort;2000;802;13515;yes
reverse_sorted;msd_radix_quick_sort;2000;2090;37010;yes
